id,title,author,source_path,tracks,duration_minutes,has_cover
d622f192-8b2d-47aa-b46a-0c08717de8ae,"Quantum","Manjit Kumar","/audiobooks/Manjit Kumar - Quantum; Einstein, Bohr, and the Great Debate about the Nature of Reality",2,861,true
18e0df2b-8899-42f8-b9e6-f710408580c4,"Quantum Gravity","Justina Robson","/audiobooks/Quantum Gravity/01 - Keeping It Real",400,2402,true
76d6d510-ea19-405d-86bf-ce5a36cd633c,"R. Buckminster Fuller","Buckminster Fuller","/audiobooks/R. Buckminster Fuller - Everything I Know",12,2495,true
bc8bbeff-c40e-4b39-888a-e8fb97b2dbc2,"Relativity","Albert Einstein","/audiobooks/Relativity Albert Einstein",28,135,true
c8534c95-b696-456a-8713-232898ac73d7,"River Out of Eden","Richard Dawkins","/audiobooks/Richard Dawkins - River Out of Eden",6,173,true
c6977a54-d7e8-4e50-9bc1-56f53208cddf,"Royal Irish Academy, Vol. 17","Kuno Meyer","/audiobooks/Classic Lecture Series",20,1151,true
8bcab552-8d58-4e51-9a1e-e1938ad21f72,"Sapiens","Yuval Noah Harari","/audiobooks/Yuval Noah Harari - Sapiens - A Brief History of Humankind",26,1836,true
69017002-2794-48c2-b523-ae9a13035582,"Speaking Peace","Marshall Rosenberg","/audiobooks/Marshall Rosenberg/Speaking Peace",20,154,true
6858987c-15a5-4343-ba63-31a8f12b8b6e,"Steve Jobs","Walter Isaacson","/audiobooks/Walter Isaacson - Steve Jobs - 2011 (unabridged) - Collectors edition/Walter Isaacson - Steve Jobs - Audio Book",24,1539,true
851c25c9-db76-46dd-a518-833c1aba6ca4,"Surprise, Kill, Vanish","Annie Jacobsen","/audiobooks/Annie Jacobsen/Surprise, Kill, Vanish - The Definitive History of Secret CIA Assassins, Armies and Operators",31,1145,true
171bc52d-1165-4cf6-a609-2ee7edac70ea,"Talking to Strangers What We Should Know About the People We Don’t Know Malcom Gladwell","Malcolm Gladwell","/audiobooks/Talking to Strangers What We Should Know About the People We Don’t Know Malcom Gladwell",13,522,true
7e13eebe-11b7-440e-93e2-51dfdcdd1735,"The Age of Entanglement; When Quantum Physics Was Reborn","Louisa Gilder","/audiobooks/Louisa Gilder - The Age of Entanglement; When Quantum Physics Was Reborn",2,848,true
6fd5396a-4797-4f95-9403-90d59c3f3471,"The Amazing Story of Quantum Mechanics: A Math-Free Exploration","James Kakalios","/audiobooks/James Kakalios -The Amazing Story of Quantum Mechanics",23,565,true
f77f4fe9-c1af-4827-bf82-78a352b5e685,"The Black Hole War","Leonard Susskind","/audiobooks/Leonard Susskind - The Black Hole War",10,769,true
acb00477-7085-4791-9b60-fbbe91b0434a,"The Character of Physical Law","Richard P Feynman","/audiobooks/The Character of Physical Law",4,164,true
05db3009-43be-4a65-b6ce-a989fe02475e,"The Fabric of the Cosmos","The Fabric of the Cosmos","/audiobooks/The Fabric of the Cosmos -Brian Greene",16,1356,true
ada4a255-57fe-46c2-ae33-b36c947ad973,"The Field: The Quest for the Secret Force of the Universe","Lynne McTaggart","/audiobooks/lynne mctaggart-the field (the quest for the secret force of the universe)",4,139,true
d4e853ef-93d6-4799-832d-8475266492dd,"The God Delusion","Richard Dawkins","/audiobooks/2006 The God Delusion",62,832,true
2bbf7a68-dbcd-4ae7-91fd-2823a0afa485,"The Hard Thing About Hard Things Audiobook","Ben Horowitz","/audiobooks/The Hard Thing About Hard Things Audiobook",1,460,true
9c1438f8-5bcc-485f-80c3-be4d2f0fdb1c,"The House On Mango Street","Sandra Cisneros","/audiobooks/THE HOUSE ON MANGO STREET - Sandra Cisneros",46,138,true
fa3b1553-b74e-4c3c-ac3a-3d0f396e8144,"The Insecure Mind of Sergei Kraev","Eric Silberstein","/audiobooks/Eric Silberstein - 2021 - The Insecure Mind of Sergei Kraev (Sci-Fi)",1,645,true
1b78d6b1-5834-48c5-9471-d044e6984e7b,"The Magic of Reality","","/audiobooks/The Magic of Reality - Richard Dawkins",6,402,true
be3ad11a-df65-4cfe-988c-1d7f2cc8c602,"The Parasitic Mind: How Infectious Ideas Are Killing Common Sense","Gad Saad","/audiobooks/Gad Saad - The Parasitic Mind",1,457,true
530341d7-c03e-4d8b-bff1-03464843a255,"The Power We Have to Create the World of Our Choosing","Marshall Rosenberg","/audiobooks/Marshall Rosenberg/The Power We Have to Create the World of Our Choosing",6,60,true
0dbd8113-5fe0-4ba1-8658-eec9b6587e79,"The Selfish Gene","Richard Dawkins","/audiobooks/Richard Dawkins The Selfish Gene (chapters)",14,970,true
